0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:12:24 +0530] "GET /Student_Record_Management/errorDgiOneView.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:13:10 +0530] "POST /Student_Record_Management/Studentloginservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:13:11 +0530] "GET /Student_Record_Management/studentHome.jsp HTTP/1.1" 200 36854
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:15:35 +0530] "POST /Student_Record_Management/eachResult.jsp HTTP/1.1" 200 3466
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:15:35 +0530] "GET /Student_Record_Management/print.png HTTP/1.1" 200 1256
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:19:07 +0530] "GET /Student_Record_Management/changePassword.jsp?rollNo=B119007&currPass=09&newPass=09 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:19:07 +0530] "GET /Student_Record_Management/success.html HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:23:17 +0530] "GET /Student_Record_Management/studentHome.jsp HTTP/1.1" 200 36854
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:23:18 +0530] "GET /Student_Record_Management/dgiOneView.jsp HTTP/1.1" 200 1308
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:36:43 +0530] "GET /Student_Record_Management/adminLogin.jsp HTTP/1.1" 200 1295
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:36:48 +0530] "POST /Student_Record_Management/adminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2021:03:36:48 +0530] "GET /Student_Record_Management/adminHome.jsp HTTP/1.1" 200 45391
